season,outcome,n,season_n,prop
2014,D,206,856,0.24065420560747663
2014,A,251,856,0.2932242990654206
2015,H,496,1039,0.4773820981713186
2015,D,216,1039,0.2078922040423484
2015,A,327,1039,0.314725697786333
2016,H,456,920,0.4956521739130435
2016,D,208,920,0.22608695652173913
2016,A,256,920,0.2782608695652174
2017,H,424,924,0.4588744588744589
2017,D,240,924,0.2597402597402597
2017,A,260,924,0.2813852813852814
2018,H,433,929,0.46609257265877285
2018,D,234,929,0.2518837459634015
2018,A,262,929,0.28202368137782563
2019,H,566,1149,0.4926022628372498
2019,D,243,1149,0.21148825065274152
2019,A,340,1149,0.2959094865100087
2020,H,149,347,0.42939481268011526
2020,D,94,347,0.27089337175792505
2020,A,104,347,0.29971181556195964
2021,H,543,1115,0.48699551569506727
2021,D,251,1115,0.22511210762331837
2021,A,321,1115,0.2878923766816143
2022,H,482,969,0.49742002063983487
2022,D,220,969,0.22703818369453044
2022,A,267,969,0.2755417956656347
2023,H,492,1054,0.4667931688804554
2023,D,225,1054,0.21347248576850095
2023,A,337,1054,0.31973434535104367
2024,H,568,1231,0.4614134849715678
2024,D,307,1231,0.24939073923639318
2024,A,356,1231,0.289195775792039
2025,H,486,1002,0.48502994011976047
2025,D,218,1002,0.21756487025948104
2025,A,298,1002,0.29740518962075846
2026,H,72,165,0.43636363636363634
2026,D,46,165,0.2787878787878788
2026,A,47,165,0.28484848484848485
