source,feature_variant,model,split,n,log_loss,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,mean_pred_D,median_pred_D,mean_max_pred_prob,mean_true_class_prob
model_28,safe_plus_form_draw,lightgbm,validation,6820,0.8929421811019816,0.5863636363636363,0.432480679405684,0.009247842170160296,0.625,0.0035190615835777126,0.2378299120234604,0.2283369097934119,0.25413392823840625,0.5972820627534255,0.47948843410652053
model_28,safe_plus_form_compact,multinom,validation,6820,0.8933507692567533,0.5850439882697948,0.4265092131436861,6.165228113440197e-4,0.1,0.001466275659824047,0.2378299120234604,0.2305416187752745,0.24872384978099282,0.597872549620644,0.4773804294198178
model_26,draw_abs_only,lightgbm,validation,7048,0.8935013818212993,0.5865493757094211,0.42847741922146126,0.00179856115107913,0.6,7.094211123723042e-4,0.2366628830874007,0.22433826499485607,0.2503195199492106,0.6000180492915138,0.4805358876687923
model_26,draw_smooth,lightgbm,validation,7048,0.8935113091197823,0.5862656072644722,0.42871545391285987,0.00299760191846522,0.7142857142857143,9.93189557321226e-4,0.2366628830874007,0.2250879225647628,0.25091858191816424,0.6005867614543383,0.48105976036783216
model_28,baseline_safe,lightgbm,validation,6820,0.8935344528071227,0.5848973607038123,0.42940130489113576,0.005548705302096177,0.5294117647058824,0.00249266862170088,0.2378299120234604,0.22815904579857954,0.2537730754185886,0.5975733072405539,0.4795216672514788
model_26,draw_smooth_neutral,lightgbm,validation,7048,0.8936038561894676,0.5858399545970489,0.4273326355471277,0.00179856115107913,0.6,7.094211123723042e-4,0.2366628830874007,0.2248262859334443,0.25084973251831244,0.5999424843057871,0.48087801349879095
model_24,model_24_baseline_safe,lightgbm,validation,7048,0.8939337519750316,0.585272417707151,0.42717395481561865,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,lightgbm,validation,7048,0.8939337519750316,0.585272417707151,0.42717395481561865,0.00179856115107913,0.6,7.094211123723042e-4,0.2366628830874007,0.2245808178206314,0.2511022809103163,0.5999483237175709,0.4803663435230794
model_26,draw_smooth_neutral,multinom,validation,7048,0.8941459244892117,0.5848467650397275,0.42506865151184753,0,0,1.4188422247446084e-4,0.2366628830874007,0.22686970338826956,0.2500428843487785,0.5989429740427982,0.4790348327357707
model_26,draw_smooth,multinom,validation,7048,0.8941738334599956,0.5847048808172531,0.42534868685459415,0,0,1.4188422247446084e-4,0.2366628830874007,0.22681974650660955,0.2497252662285172,0.5992022139030339,0.47891941096796387
model_28,safe_plus_form_compact,glmnet_multinomial_ridge,validation,6820,0.8944644497975591,0.5837243401759531,0.4243855266770254,6.165228113440197e-4,0.25,5.865102639296188e-4,0.2378299120234604,0.23052932143459554,0.24652828139051364,0.5871487670440021,0.47113940690092154
model_26,draw_abs_only,multinom,validation,7048,0.8948392365503455,0.5835698070374574,0.4244790381880748,0,0,0,0.2366628830874007,0.22682766859511772,0.24830970852929476,0.6001465920923413,0.4787001540926011
model_26,draw_smooth,glmnet_multinomial_ridge,validation,7048,0.8948982127751688,0.5838535754824064,0.4232447951747389,0,0,1.4188422247446084e-4,0.2366628830874007,0.22615370330973256,0.24837166901106744,0.5901607485740041,0.4733684410297476
model_26,draw_smooth_neutral,glmnet_multinomial_ridge,validation,7048,0.8949059424207001,0.5842792281498297,0.4233626556644462,0,0,1.4188422247446084e-4,0.2366628830874007,0.22619033150405532,0.24850114815144575,0.5901940099004238,0.4734589065465743
model_28,safe_plus_form_draw,multinom,validation,6820,0.8949884410952069,0.5835777126099707,0.4252225887713991,6.165228113440197e-4,0.16666666666666666,8.797653958944282e-4,0.2378299120234604,0.2295003635514289,0.24732038218817126,0.5988554434809267,0.47713863712426796
model_24,model_24_baseline_safe,multinom,validation,7048,0.8953290663527264,0.583427922814983,0.4246420275418869,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,multinom,validation,7048,0.8953290663527264,0.583427922814983,0.4246420275418869,0,0,0,0.2366628830874007,0.226742699713368,0.2451741832947945,0.6015872523494045,0.4780062558322664
model_26,draw_abs_only,glmnet_multinomial_ridge,validation,7048,0.8953399676045426,0.5848467650397275,0.42420135221330463,0,0,0,0.2366628830874007,0.226160326119871,0.24715196230880232,0.5906024675609677,0.4731140755254547
model_28,baseline_safe,multinom,validation,6820,0.8955963314683028,0.5840175953079179,0.425202598814642,0,0,0,0.2378299120234604,0.22903328816949572,0.24735971344636182,0.5992449483957791,0.4769589667901712
model_28,safe_plus_form_draw,glmnet_multinomial_ridge,validation,6820,0.8956927076007211,0.5832844574780058,0.4237556265846097,0,0,5.865102639296188e-4,0.2378299120234604,0.22924766803943053,0.24578770526837745,0.5884547246558204,0.47118349336902626
model_24,model_24_baseline_safe,glmnet_multinomial_ridge,validation,7048,0.8959725257627442,0.5847048808172531,0.42478069385666273,NA,NA,NA,NA,NA,NA,NA,NA
model_26,baseline_safe,glmnet_multinomial_ridge,validation,7048,0.8959725257627442,0.5847048808172531,0.42478069385666273,0,0,0,0.2366628830874007,0.22607371866806403,0.24301367141054808,0.591079700424756,0.471921992815036
model_28,baseline_safe,glmnet_multinomial_ridge,validation,6820,0.896326146418545,0.5840175953079179,0.42420405681660195,0,0,0,0.2378299120234604,0.2286845751446788,0.24606131230719383,0.588865570307938,0.4709754888924011
