model,split,abs_rating_diff_bucket,n,actual_draw_rate,mean_pred_D,draw_top_rate,draw_second_rate,draw_within_5pts_of_top_rate,draw_within_10pts_of_top_rate,mean_draw_margin_to_top,median_draw_margin_to_top,accuracy
multinom,test,0-25,592,0.3327702702702703,0.2631918280706802,0,0.6216216216216216,0.0033783783783783786,0.11317567567567567,0.2184191674022411,0.22806596110388913,0.3935810810810811
multinom,test,25-50,530,0.3018867924528302,0.26261550466123157,0,0.6452830188679245,0.0018867924528301887,0.052830188679245285,0.22776336599683364,0.21994266710343977,0.4547169811320755
multinom,test,50-100,1076,0.2778810408921933,0.25873759545342345,0,0.6514869888475836,9.293680297397769e-4,0.039962825278810406,0.24845496163463426,0.21729161089771248,0.4591078066914498
multinom,test,100-150,965,0.277720207253886,0.24895097597746893,0,0.6621761658031088,0.0383419689119171,0.138860103626943,0.2871135784974953,0.2735934852903894,0.48082901554404145
multinom,test,150-250,1616,0.25866336633663367,0.23286469910276242,0,0.7698019801980198,0.008663366336633664,0.1150990099009901,0.3522859736086464,0.36830679915888526,0.5761138613861386
multinom,test,250-400,1580,0.20759493670886076,0.19064434507248212,0,0.9848101265822785,0,0,0.5134171900978401,0.5522601350222847,0.6987341772151898
multinom,test,400+,1203,0.09476309226932668,0.12115474728199045,0,1,0,0,0.717620333032669,0.7630499200169272,0.8786367414796342
glmnet_multinomial_ridge,validation,0-25,616,0.3133116883116883,0.2619464888481567,0,0.689935064935065,0,0.06168831168831169,0.2232428878451622,0.23235006144546755,0.4074675324675325
glmnet_multinomial_ridge,validation,25-50,605,0.2793388429752066,0.261462262666107,0,0.6661157024793388,0,0.05289256198347107,0.22653121712774518,0.22106322476068638,0.47107438016528924
glmnet_multinomial_ridge,validation,50-100,1138,0.2609841827768014,0.2571451860428945,0,0.5887521968365553,8.787346221441124e-4,0.028119507908611598,0.24501708032167205,0.2206893424632889,0.4806678383128295
glmnet_multinomial_ridge,validation,100-150,1023,0.2961876832844575,0.24944338619221157,0,0.5738025415444771,0.02932551319648094,0.12805474095796676,0.27127779605662616,0.255517709698886,0.49364613880742914
glmnet_multinomial_ridge,validation,150-250,1716,0.24533799533799533,0.23446790440820858,0,0.7127039627039627,0.002913752913752914,0.12062937062937062,0.3340863239432471,0.36110985236248216,0.574009324009324
glmnet_multinomial_ridge,validation,250-400,1535,0.21954397394136807,0.20002585558667352,0,0.9498371335504886,0,0,0.4734098989248661,0.5332152490021806,0.6677524429967426
glmnet_multinomial_ridge,validation,400+,982,0.08961303462321792,0.13488724453490156,0,1,0,0,0.6777755264420079,0.7271196620947922,0.8706720977596741
lightgbm,validation,0-25,616,0.3133116883116883,0.2722767439134082,0,0.6964285714285714,0.008116883116883116,0.08603896103896104,0.20671377210283803,0.20755631556745657,0.4042207792207792
lightgbm,validation,25-50,605,0.2793388429752066,0.2760269353215916,0,0.6892561983471074,0.001652892561983471,0.08760330578512397,0.20141629324097463,0.193038111652593,0.4644628099173554
lightgbm,validation,50-100,1138,0.2609841827768014,0.27315286818937,0,0.7952548330404218,0.009666080843585237,0.08084358523725835,0.22072541043188726,0.1917553689200573,0.48154657293497366
lightgbm,validation,100-150,1023,0.2961876832844575,0.27067302463334736,9.775171065493646e-4,0.6901270772238515,0.10948191593352884,0.29521016617790813,0.23309656143086327,0.2143688642865763,0.5063538611925709
lightgbm,validation,150-250,1716,0.24533799533799533,0.23447659063731544,0.00058275058275058275,0.8245920745920746,0.039627039627039624,0.155011655011655,0.35034894820905904,0.3866025625276204,0.5798368298368298
lightgbm,validation,250-400,1535,0.21954397394136807,0.18188828617941932,0,0.965472312703583,0,6.514657980456026e-4,0.5095085555233783,0.551610865075742,0.6677524429967426
lightgbm,validation,400+,982,0.08961303462321792,0.09942418490764755,0,0.994908350305499,0,0,0.7584263094334961,0.8125485810800945,0.8706720977596741
multinom,validation,0-25,616,0.3133116883116883,0.2679651707526459,0,0.6964285714285714,0.00487012987012987,0.1314935064935065,0.21652148593271325,0.2289106262271045,0.4074675324675325
multinom,validation,25-50,605,0.2793388429752066,0.2672581159587506,0,0.6925619834710743,0,0.047933884297520664,0.2231951996803246,0.2142526384951316,0.4644628099173554
multinom,validation,50-100,1138,0.2609841827768014,0.26234412456607886,0,0.6818980667838312,0.004393673110720563,0.05272407732864675,0.24333082829454866,0.2125941864295654,0.48154657293497366
multinom,validation,100-150,1023,0.2961876832844575,0.2533236493210542,0,0.6344086021505376,0.05083088954056696,0.1652003910068426,0.2725768105355347,0.24976204475164177,0.4868035190615836
multinom,validation,150-250,1716,0.24533799533799533,0.23589158596252288,0,0.7692307692307693,0.005827505827505828,0.1346153846153846,0.3445311240916962,0.36595017834853794,0.5705128205128205
multinom,validation,250-400,1535,0.21954397394136807,0.19656646330821706,0,0.9876221498371336,0,0,0.4949512261076727,0.5544847007268523,0.6677524429967426
multinom,validation,400+,982,0.08961303462321792,0.1250877631579382,0,1,0,0,0.7078372900669784,0.757059899410933,0.8706720977596741
