model,split,threshold,n,accuracy,macro_f1,draw_recall,draw_precision,predicted_draw_rate,actual_draw_rate,log_loss
multinom,test,0.02,7562,0.5983866701930706,0.4391253848705187,5.605381165919282e-4,0.5,2.644802962179318e-4,0.23591642422639514,0.8731751803848219
multinom,test,0.03,7562,0.5986511504892885,0.4406371650369425,0.002802690582959641,0.5,0.0013224014810896587,0.23591642422639514,0.8731751803848219
multinom,test,0.05,7562,0.5973287490081989,0.44424906089301813,0.010089686098654708,0.32727272727272727,0.007273208145993124,0.23591642422639514,0.8731751803848219
multinom,test,0.075,7562,0.5966675482676541,0.4577672894974212,0.034192825112107625,0.3112244897959184,0.02591906902935731,0.23591642422639514,0.8731751803848219
multinom,test,0.1,7562,0.5936260248611478,0.4759998544736829,0.07791479820627803,0.3034934497816594,0.060565987833906376,0.23591642422639514,0.8731751803848219
multinom,validation,0,7615,0.5826657912015758,0.4241423187094829,0,0,0,0.23742613263296125,0.894920422923475
multinom,validation,0.01,7615,0.5826657912015758,0.4241423187094829,0,0,0,0.23742613263296125,0.894920422923475
multinom,validation,0.02,7615,0.5826657912015758,0.42445465487283823,5.530973451327434e-4,0.3333333333333333,3.939592908732764e-4,0.23742613263296125,0.894920422923475
multinom,validation,0.03,7615,0.5829284307288247,0.4261055468344429,0.0027654867256637168,0.35714285714285715,0.0018384766907419566,0.23742613263296125,0.894920422923475
multinom,validation,0.05,7615,0.5820091923834537,0.4303265648851873,0.010508849557522125,0.2714285714285714,0.009192383453709783,0.23742613263296125,0.894920422923475
multinom,validation,0.075,7615,0.5821405121470782,0.44803745183818516,0.0420353982300885,0.30158730158730157,0.03309258043335522,0.23742613263296125,0.894920422923475
multinom,validation,0.1,7615,0.5816152330925805,0.4731708297303796,0.10287610619469026,0.3263157894736842,0.07485226526592252,0.23742613263296125,0.894920422923475
