source_match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_goals,goal_difference,data_split
2006_02_18_monaco_chechnya_friendly,2006-02-18,Monaco,Chechnya,13,1,Friendly,Cap-d'Ail,France,TRUE,14,12,train
1882_02_18_northern_ireland_england_friendly,1882-02-18,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,FALSE,13,-13,train
1933_05_21_spain_bulgaria_friendly,1933-05-21,Spain,Bulgaria,13,0,Friendly,Madrid,Spain,FALSE,13,13,train
1940_09_01_germany_finland_friendly,1940-09-01,Germany,Finland,13,0,Friendly,Leipzig,Germany,FALSE,13,13,train
1966_04_06_libya_yemen_arab_cup,1966-04-06,Libya,Yemen,13,0,Arab Cup,Kut,Iraq,TRUE,13,13,train
1979_08_31_kiribati_papua_new_guinea_south_pacific_games,1979-08-31,Kiribati,Papua New Guinea,0,13,South Pacific Games,Suva,Fiji,TRUE,13,-13,train
1981_07_08_tahiti_samoa_south_pacific_mini_games,1981-07-08,Tahiti,Samoa,13,0,South Pacific Mini Games,Honiara,Solomon Islands,TRUE,13,13,train
1981_08_16_new_zealand_fiji_fifa_world_cup_qualification,1981-08-16,New Zealand,Fiji,13,0,FIFA World Cup qualification,Auckland,New Zealand,FALSE,13,13,train
1992_08_18_ethiopia_iraq_jordan_international_tournament,1992-08-18,Ethiopia,Iraq,0,13,Jordan International Tournament,Irbid,Jordan,TRUE,13,-13,train
1995_08_17_tahiti_wallis_islands_and_futuna_south_pacific_games,1995-08-17,Tahiti,Wallis Islands and Futuna,13,0,South Pacific Games,Papeete,Tahiti,FALSE,13,13,train
1997_06_11_australia_solomon_islands_fifa_world_cup_qualification,1997-06-11,Australia,Solomon Islands,13,0,FIFA World Cup qualification,Sydney,Australia,FALSE,13,13,train
1999_06_28_hitra_isle_of_man_island_games,1999-06-28,Hitra,Isle of Man,0,13,Island Games,Fardhem,Sweden,TRUE,13,-13,train
2001_04_07_fiji_american_samoa_fifa_world_cup_qualification,2001-04-07,Fiji,American Samoa,13,0,FIFA World Cup qualification,Coffs Harbour,Australia,TRUE,13,13,train
2004_02_29_bermuda_montserrat_fifa_world_cup_qualification,2004-02-29,Bermuda,Montserrat,13,0,FIFA World Cup qualification,Hamilton,Bermuda,FALSE,13,13,train
2006_09_06_san_marino_germany_uefa_euro_qualification,2006-09-06,San Marino,Germany,0,13,UEFA Euro qualification,Serravalle,San Marino,FALSE,13,-13,train
2012_09_22_guadeloupe_saint_pierre_and_miquelon_coupe_de_l_outre_mer,2012-09-22,Guadeloupe,Saint Pierre and Miquelon,13,0,Coupe de l'Outre-Mer,Versailles,France,TRUE,13,13,train
2018_09_10_haiti_sint_maarten_concacaf_nations_league_qualification,2018-09-10,Haiti,Sint Maarten,13,0,CONCACAF Nations League qualification,Port-au-Prince,Haiti,FALSE,13,13,test
2019_07_08_tuvalu_solomon_islands_pacific_games,2019-07-08,Tuvalu,Solomon Islands,0,13,Pacific Games,Apia,Samoa,TRUE,13,-13,test
2019_07_15_solomon_islands_american_samoa_pacific_games,2019-07-15,Solomon Islands,American Samoa,13,0,Pacific Games,Apia,Samoa,TRUE,13,13,test
2021_06_05_panama_anguilla_fifa_world_cup_qualification,2021-06-05,Panama,Anguilla,13,0,FIFA World Cup qualification,Panama City,Panama,FALSE,13,13,test
1946_12_13_panama_puerto_rico_central_american_and_caribbean_games,1946-12-13,Panama,Puerto Rico,12,1,Central American and Caribbean Games,Barranquilla,Colombia,TRUE,13,11,train
1964_01_12_sri_lanka_german_dr_friendly,1964-01-12,Sri Lanka,German DR,1,12,Friendly,Colombo,Ceylon,FALSE,13,-11,train
1980_02_27_solomon_islands_tahiti_oceania_nations_cup,1980-02-27,Solomon Islands,Tahiti,1,12,Oceania Nations Cup,Nouméa,New Caledonia,TRUE,13,-11,train
1983_12_21_spain_malta_uefa_euro_qualification,1983-12-21,Spain,Malta,12,1,UEFA Euro qualification,Seville,Spain,FALSE,13,11,train
1993_12_11_solomon_islands_guam_south_pacific_mini_games,1993-12-11,Solomon Islands,Guam,12,1,South Pacific Mini Games,Port Vila,Vanuatu,TRUE,13,11,train
1995_08_16_solomon_islands_wallis_islands_and_futuna_south_pacific_games,1995-08-16,Solomon Islands,Wallis Islands and Futuna,12,1,South Pacific Games,Papeete,Tahiti,TRUE,13,11,train
