source,raw_file,source_shootout_id,source_match_key,date,home_team,away_team,winner,first_shooter,match_found_in_results,notes
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1980_03_19_algeria_egypt_shootout_001,1980_03_19_algeria_egypt,1980-03-19,Algeria,Egypt,Algeria,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1980_06_21_italy_czechoslovakia_shootout_001,1980_06_21_italy_czechoslovakia,1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1980_07_12_nigeria_tunisia_shootout_001,1980_07_12_nigeria_tunisia,1980-07-12,Nigeria,Tunisia,Nigeria,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1980_11_30_zambia_morocco_shootout_001,1980_11_30_zambia_morocco,1980-11-30,Zambia,Morocco,Morocco,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1980_12_31_hong_kong_china_pr_shootout_001,1980_12_31_hong_kong_china_pr,1980-12-31,Hong Kong,China PR,China PR,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1981_02_13_mali_guinea_shootout_001,1981_02_13_mali_guinea,1981-02-13,Mali,Guinea,Guinea,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1981_05_10_rwanda_ethiopia_shootout_001,1981_05_10_rwanda_ethiopia,1981-05-10,Rwanda,Ethiopia,Ethiopia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1981_12_13_malaysia_singapore_shootout_001,1981_12_13_malaysia_singapore,1981-12-13,Malaysia,Singapore,Malaysia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_02_21_ivory_coast_togo_shootout_001,1982_02_21_ivory_coast_togo,1982-02-21,Ivory Coast,Togo,Togo,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_02_22_ivory_coast_burkina_faso_shootout_001,1982_02_22_ivory_coast_burkina_faso,1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_03_19_libya_ghana_shootout_001,1982_03_19_libya_ghana,1982-03-19,Libya,Ghana,Ghana,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_05_15_thailand_singapore_shootout_001,1982_05_15_thailand_singapore,1982-05-15,Thailand,Singapore,Thailand,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_05_17_thailand_south_korea_shootout_001,1982_05_17_thailand_south_korea,1982-05-17,Thailand,South Korea,Thailand,NA,TRUE,NA
