source,raw_file,source_match_id,date,season,competition,home_team,away_team,home_score,away_score,competition_id,season_id,match_week,competition_country,stadium,data_version,shot_fidelity_version,xy_fidelity_version,match_result,result_class,home_win,draw,away_win,goal_difference,total_goals,neutral
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901254,2016-05-14,2015/2016,Ligue 1,Stade de Reims,Lyon,4,1,7,27,38,France,Stade Auguste-Delaune II ,1.1.0,2,2,H,1,1,0,0,3,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901253,2016-05-11,2015/2016,Ligue 1,Bordeaux,Paris Saint-Germain,1,1,7,27,35,France,Stade Matmut Atlantique,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901252,2016-05-07,2015/2016,Ligue 1,Lyon,AS Monaco,6,1,7,27,37,France,Groupama Stadium,1.1.0,2,2,H,1,1,0,0,5,7,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901250,2016-05-07,2015/2016,Ligue 1,OGC Nice,Saint-Étienne,2,0,7,27,37,France,Allianz Riviera ,1.1.0,2,2,H,1,1,0,0,2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901249,2016-05-07,2015/2016,Ligue 1,Montpellier,Rennes,2,0,7,27,37,France,Stade de la Mosson ,1.1.0,2,2,H,1,1,0,0,2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901248,2016-05-07,2015/2016,Ligue 1,Lille,Guingamp,0,0,7,27,37,France,Decathlon Arena – Stade Pierre-Mauroy,1.1.0,2,2,D,0,0,1,0,0,0,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901247,2016-05-07,2015/2016,Ligue 1,Gazélec Ajaccio,Paris Saint-Germain,0,4,7,27,37,France,Stade Ange Casanova (Ajaccio),1.1.0,2,2,A,-1,0,0,1,-4,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901246,2016-05-07,2015/2016,Ligue 1,Nantes,Stade Malherbe Caen,1,2,7,27,37,France,Stade de la Beaujoire - Louis Fonteneau,1.1.0,2,2,A,-1,0,0,1,-1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901245,2016-05-07,2015/2016,Ligue 1,Bordeaux,Lorient,3,0,7,27,37,France,Stade Matmut Atlantique,1.1.0,2,2,H,1,1,0,0,3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901244,2016-05-07,2015/2016,Ligue 1,Toulouse,Troyes,1,0,7,27,37,France,Stadium de Toulouse,1.1.0,2,2,H,1,1,0,0,1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901243,2016-05-07,2015/2016,Ligue 1,Bastia,Angers,1,0,7,27,37,France,Stade Armand-Césari,1.1.0,2,2,H,1,1,0,0,1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901242,2016-05-01,2015/2016,Ligue 1,Angers,Olympique de Marseille,0,1,7,27,36,France,Stade Raymond-Kopa,1.1.0,2,2,A,-1,0,0,1,-1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901240,2016-04-30,2015/2016,Ligue 1,Lorient,Lille,0,1,7,27,36,France,Stade Yves Allainmat - du Moustoir,1.1.0,2,2,A,-1,0,0,1,-1,1,NA
