path,source_guess,dataset_guess,raw_or_processed,file_type,rows,columns,date_min,date_max,n_teams,n_competitions,file_size_bytes,modified_time,notes
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788756.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7361401,2026-05-28 13:08:12.175885,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788757.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8650899,2026-05-28 13:08:13.457493,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788758.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6250243,2026-05-28 13:08:15.359119,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788759.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6450456,2026-05-28 13:08:14.996124,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788760.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6103713,2026-05-28 13:08:16.070262,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788761.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8906888,2026-05-28 13:08:16.718525,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788762.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7728491,2026-05-28 13:08:17.745571,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788763.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6437581,2026-05-28 13:08:18.481023,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788764.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6742117,2026-05-28 13:08:19.347506,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788765.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7322927,2026-05-28 13:08:19.711484,NA
