year,matches,home_win_rate,draw_rate,away_win_rate,avg_goal_difference
1942,57,0.543859649122807,0.17543859649122806,0.2807017543859649,1.1578947368421053
1943,35,0.4,0.2,0.4,0.2571428571428571
1944,30,0.43333333333333335,0.16666666666666666,0.4,0.8
1945,65,0.6615384615384615,0.1076923076923077,0.23076923076923078,1.5692307692307692
1946,115,0.6782608695652174,0.09565217391304348,0.22608695652173913,1.617391304347826
1947,141,0.45390070921985815,0.15602836879432624,0.3900709219858156,0.2553191489361702
1948,128,0.5390625,0.1796875,0.28125,0.5703125
1949,153,0.48366013071895425,0.12418300653594772,0.39215686274509803,0.5947712418300654
1950,135,0.5185185185185185,0.14074074074074075,0.34074074074074073,0.8666666666666667
1951,106,0.5660377358490566,0.1792452830188679,0.25471698113207547,1.0849056603773586
1952,118,0.4745762711864407,0.15254237288135594,0.3728813559322034,0.3220338983050847
1953,179,0.4301675977653631,0.19553072625698323,0.3743016759776536,0.4022346368715084
1954,168,0.43452380952380953,0.17261904761904762,0.39285714285714285,0.32142857142857145
1955,153,0.49019607843137253,0.1830065359477124,0.32679738562091504,0.38562091503267976
1956,196,0.4642857142857143,0.20918367346938777,0.32653061224489793,0.336734693877551
1957,221,0.5248868778280543,0.17194570135746606,0.3031674208144796,0.7149321266968326
1958,188,0.48404255319148937,0.2393617021276596,0.2765957446808511,0.526595744680851
1959,187,0.5347593582887701,0.1657754010695187,0.2994652406417112,0.5828877005347594
1960,218,0.6100917431192661,0.1559633027522936,0.23394495412844038,1.0275229357798166
1961,233,0.5321888412017167,0.16738197424892703,0.30042918454935624,0.7896995708154506
1962,246,0.5772357723577236,0.14634146341463414,0.2764227642276423,0.7723577235772358
1963,315,0.5111111111111111,0.2,0.28888888888888886,0.5777777777777777
1964,189,0.4973544973544973,0.19047619047619047,0.31216931216931215,0.31216931216931215
1965,359,0.4818941504178273,0.22284122562674094,0.29526462395543174,0.6239554317548747
1966,353,0.47592067988668557,0.18980169971671387,0.3342776203966006,0.7110481586402266
1967,370,0.5081081081081081,0.1891891891891892,0.3027027027027027,0.518918918918919
1968,308,0.5292207792207793,0.2305194805194805,0.24025974025974026,0.788961038961039
1969,380,0.55,0.22894736842105262,0.22105263157894736,0.95
1970,349,0.4785100286532951,0.22349570200573066,0.2979942693409742,0.4498567335243553
1971,408,0.5171568627450981,0.2107843137254902,0.27205882352941174,0.8578431372549019
1972,419,0.47494033412887826,0.2386634844868735,0.2863961813842482,0.5751789976133651
1973,488,0.5225409836065574,0.2336065573770492,0.24385245901639344,0.7561475409836066
1974,382,0.46596858638743455,0.23036649214659685,0.3036649214659686,0.581151832460733
1975,397,0.5491183879093199,0.18639798488664988,0.26448362720403024,0.7304785894206549
1976,400,0.4575,0.2525,0.29,0.4875
1977,455,0.5076923076923077,0.2175824175824176,0.27472527472527475,0.6857142857142857
1978,391,0.4731457800511509,0.1918158567774936,0.3350383631713555,0.329923273657289
1979,444,0.545045045045045,0.19594594594594594,0.25900900900900903,0.954954954954955
1980,509,0.45579567779960706,0.26719056974459726,0.2770137524557957,0.5245579567779961
1981,500,0.506,0.218,0.276,0.694
1982,420,0.4642857142857143,0.2714285714285714,0.2642857142857143,0.5023809523809524
1983,465,0.46236559139784944,0.25806451612903225,0.27956989247311825,0.45376344086021503
1984,542,0.4907749077490775,0.24169741697416974,0.26752767527675275,0.6107011070110702
1985,601,0.49417637271214643,0.2628951747088186,0.24292845257903495,0.6522462562396006
1986,429,0.4405594405594406,0.24708624708624707,0.3123543123543124,0.3706293706293706
1987,395,0.4911392405063291,0.26582278481012656,0.2430379746835443,0.5594936708860759
1988,541,0.4029574861367837,0.3123844731977819,0.2846580406654344,0.2920517560073937
1989,623,0.49759229534510435,0.26484751203852325,0.2375601926163724,0.6099518459069021
1990,482,0.475103734439834,0.2551867219917012,0.2697095435684647,0.483402489626556
1991,508,0.4704724409448819,0.2795275590551181,0.25,0.5
1992,600,0.4633333333333333,0.28,0.25666666666666665,0.605
1993,795,0.49937106918238994,0.23647798742138365,0.2641509433962264,0.6540880503144654
1994,609,0.48111658456486045,0.24630541871921183,0.27257799671592775,0.5582922824302134
1995,669,0.5396113602391629,0.21973094170403587,0.2406576980568012,0.6591928251121076
1996,837,0.5137395459976105,0.21863799283154123,0.26762246117084826,0.6152927120669056
1997,907,0.5214994487320838,0.22712238147739802,0.2513781697905182,0.6560088202866593
1998,761,0.480946123521682,0.25098554533508544,0.2680683311432326,0.492772667542707
1999,776,0.4948453608247423,0.24355670103092783,0.2615979381443299,0.6610824742268041
2000,1040,0.5163461538461539,0.22884615384615384,0.2548076923076923,0.7913461538461538
2001,1032,0.4883720930232558,0.23449612403100775,0.2771317829457364,0.6947674418604651
2002,768,0.4544270833333333,0.2604166666666667,0.28515625,0.4609375
2003,947,0.5195353748680043,0.20696937697993664,0.2734952481520591,0.7180570221752904
2004,1079,0.4606116774791474,0.25393883225208524,0.28544949026876737,0.5792400370713624
2005,804,0.48134328358208955,0.24378109452736318,0.27487562189054726,0.4962686567164179
2006,842,0.4833729216152019,0.22921615201900236,0.28741092636579574,0.5605700712589073
2007,988,0.47368421052631576,0.23582995951417005,0.29048582995951416,0.4726720647773279
2008,1101,0.4877384196185286,0.22979109900090827,0.28247048138056313,0.5658492279745686
2009,925,0.49405405405405406,0.22594594594594594,0.28,0.5664864864864865
2010,863,0.4542294322132097,0.24681344148319814,0.2989571263035921,0.43568945538818077
2011,1119,0.4915102770330652,0.23056300268096513,0.2779267202859696,0.5058087578194816
2012,1025,0.49560975609756097,0.21658536585365853,0.28780487804878047,0.5326829268292683
2013,963,0.48598130841121495,0.24610591900311526,0.26791277258566976,0.5077881619937694
2014,856,0.4661214953271028,0.24065420560747663,0.2932242990654206,0.35630841121495327
2015,1039,0.4773820981713186,0.2078922040423484,0.314725697786333,0.4706448508180943
2016,920,0.4956521739130435,0.22608695652173913,0.2782608695652174,0.5760869565217391
2017,924,0.4588744588744589,0.2597402597402597,0.2813852813852814,0.4751082251082251
2018,929,0.46609257265877285,0.2518837459634015,0.28202368137782563,0.48439181916038754
2019,1149,0.4926022628372498,0.21148825065274152,0.2959094865100087,0.5317667536988686
2020,347,0.42939481268011526,0.27089337175792505,0.29971181556195964,0.41786743515850144
2021,1115,0.48699551569506727,0.22511210762331837,0.2878923766816143,0.5399103139013453
2022,969,0.49742002063983487,0.22703818369453044,0.2755417956656347,0.5087719298245614
2023,1054,0.4667931688804554,0.21347248576850095,0.31973434535104367,0.5113851992409867
2024,1231,0.4614134849715678,0.24939073923639318,0.289195775792039,0.4524776604386678
2025,1002,0.48502994011976047,0.21756487025948104,0.29740518962075846,0.43912175648702595
2026,165,0.43636363636363634,0.2787878787878788,0.28484848484848485,0.43636363636363634
